Rank,Movie Title,IMDB Rating,Year Of Release,Duration
1, The Shawshank Redemption,9.3,1994,2h 22m
2, The Godfather,9.2,1972,2h 55m
3, The Dark Knight,9.0,2008,2h 32m
4, The Godfather: Part II,9.0,1974,3h 22m
5, 12 Angry Men,9.0,1957,1h 36m
6, Schindler's List,9.0,1993,3h 15m
7, The Lord of the Rings: The Return of the King,9.0,2003,3h 21m
8, Pulp Fiction,8.9,1994,2h 34m
9, The Lord of the Rings: The Fellowship of the Ring,8.9,2001,2h 58m
10," Il Buono, Il Brutto, Il Cattivo",8.8,1966,2h 41m
11, Forrest Gump,8.8,1994,2h 22m
12, The Lord of the Rings: The Two Towers,8.8,2002,2h 59m
13, Fight Club,8.8,1999,2h 19m
14, Inception,8.8,2010,2h 28m
15, Dune: Part Two,8.8,2024,2h 46m
16, Star Wars: Episode V - The Empire Strikes Back,8.7,1980,2h 4m
17, The Matrix,8.7,1999,2h 16m
18, GoodFellas,8.7,1990,2h 25m
19, One Flew Over the Cuckoo's Nest,8.7,1975,2h 13m
20, Se7en,8.6,1995,2h 7m
21, Interstellar,8.7,2014,2h 49m
22, It's a Wonderful Life,8.6,1946,2h 10m
23, Shichinin No Samurai,8.6,1954,3h 27m
24, The Silence of the Lambs,8.6,1991,1h 58m
25, Saving Private Ryan,8.6,1998,2h 49m
26, City of God,8.6,2002,2h 10m
27, Life Is Beautiful,8.6,1997,1h 56m
28, The Green Mile,8.6,1999,3h 9m
29, Terminator 2: Judgment Day,8.6,1991,2h 17m
30, Star Wars: Episode IV - A New Hope,8.6,1977,2h 1m
31, Back to the Future,8.5,1985,1h 56m
32, Spirited Away,8.6,2001,2h 5m
33, The Pianist,8.5,2002,2h 30m
34, Parasite,8.5,2019,2h 12m
35, Spider-man: Across the Spider-verse,8.6,2023,2h 20m
36, Psycho,8.5,1960,1h 49m
37, Gladiator,8.5,2000,2h 35m
38, The Lion King,8.5,1994,1h 28m
39, Léon,8.5,1994,1h 50m
40, The Departed,8.5,2006,2h 31m
41, American History X,8.5,1998,1h 59m
42, Whiplash,8.5,2014,1h 46m
43, The Prestige,8.5,2006,2h 10m
44, Grave of the Fireflies,8.5,1988,1h 29m
45, Seppuku,8.6,1962,2h 13m
46, The Usual Suspects,8.5,1995,1h 46m
47, Casablanca,8.5,1942,1h 42m
48, Intouchables,8.5,2011,1h 52m
49, Cinema Paradiso,8.5,1988,2h 54m
50, Modern Times,8.5,1936,1h 27m
51, Rear Window,8.5,1954,1h 52m
52, C'era Una Volta Il West,8.5,1968,2h 46m
53, Alien,8.5,1979,1h 57m
54, City Lights,8.5,1931,1h 27m
55, Apocalypse Now,8.4,1979,2h 27m
56, Django Unchained,8.5,2012,2h 45m
57, 12th Fail,9.0,2023,2h 27m
58, Memento,8.4,2000,1h 53m
59, WALL·E,8.4,2008,1h 38m
60, Raiders of the Lost Ark,8.4,1981,1h 55m
61, Das Leben der Anderen,8.4,2006,2h 17m
62, Sunset Blvd.,8.4,1950,1h 50m
63, Paths of Glory,8.4,1957,1h 28m
64, Avengers: Infinity War,8.4,2018,2h 29m
65, Spider-Man: Into the Spider-Verse,8.4,2018,1h 57m
66, The Shining,8.4,1980,2h 26m
67, Witness for the Prosecution,8.4,1957,1h 56m
68, The Great Dictator,8.4,1940,2h 5m
69, Alien 2,8.4,1986,2h 17m
70, Inglourious Basterds,8.4,2009,2h 33m
71, The Dark Knight Rises,8.4,2012,2h 44m
72, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,1h 35m
73, American Beauty,8.3,1999,2h 2m
74, Oldeuboi,8.3,2003,1h 41m
75, Coco,8.4,2017,1h 45m
76, Amadeus,8.4,1984,2h 40m
77, Toy Story,8.3,1995,1h 21m
78, Das Boot,8.4,1981,2h 29m
79, Braveheart,8.3,1995,2h 58m
80, Avengers: Endgame,8.4,2019,3h 1m
81, Joker,8.4,2019,2h 2m
82, Mononoke-hime,8.3,1997,2h 14m
83, Good Will Hunting,8.3,1997,2h 6m
84, Kimi No Na Wa.,8.4,2016,1h 46m
85, Once Upon a Time in America,8.3,1984,3h 49m
86, Tengoku to Jigoku,8.4,1963,2h 23m
87, 3 Idiots,8.4,2009,2h 50m
88, Singin' in the Rain,8.3,1952,1h 43m
89, Oppenheimer,8.3,2023,3h
90, Capharnaüm,8.4,2018,2h 6m
91, Requiem for a Dream,8.3,2000,1h 42m
92, Idi I Smotri,8.4,1985,2h 22m
93, Toy Story 3,8.3,2010,1h 43m
94, Star Wars: Episode VI - Return of the Jedi,8.3,1983,2h 11m
95, Eternal Sunshine of the Spotless Mind,8.3,2004,1h 48m
96, Jagten,8.3,2012,1h 55m
97, 2001: A Space Odyssey,8.3,1968,2h 29m
98, Reservoir Dogs,8.3,1992,1h 39m
99, Ikiru,8.3,1952,2h 23m
100, Lawrence of Arabia,8.3,1962,3h 38m
101, The Apartment,8.3,1960,2h 5m
102, North by Northwest,8.3,1959,2h 16m
